"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.079238680E-1,1.160185814E0,-1.531744599E-1,-3.558290005E-1
7.100195410E-1,1.127351761E0,-1.627955884E-1,-3.494149148E-1
7.121260880E-1,1.093448758E0,-1.750128865E-1,-3.419318199E-1
7.142265220E-1,1.063058257E0,-1.919644028E-1,-3.306308091E-1
7.163277180E-1,1.036485553E0,-2.041817009E-1,-3.207042515E-1
7.184283850E-1,1.010982037E0,-2.235766798E-1,-3.119994104E-1
7.205280040E-1,9.915869832E-1,-2.466368377E-1,-3.046690524E-1
7.226283460E-1,9.721920490E-1,-2.696970105E-1,-2.959642112E-1
7.247274470E-1,9.550877810E-1,-2.939788997E-1,-2.898555696E-1
7.268296820E-1,9.405797720E-1,-3.109304011E-1,-2.823724449E-1
7.289302480E-1,9.248499870E-1,-3.278819323E-1,-2.762638032E-1
7.310347490E-1,9.103419185E-1,-3.327688277E-1,-2.675589919E-1
7.331438700E-1,8.933904171E-1,-3.327688277E-1,-2.600758672E-1
7.352312730E-1,8.739954233E-1,-3.255911767E-1,-2.489275932E-1
7.373306780E-1,8.570439219E-1,-3.123048544E-1,-2.400700450E-1
7.394290460E-1,8.353582025E-1,-3.061962128E-1,-2.301434875E-1
7.415361330E-1,8.110763431E-1,-2.868012190E-1,-2.212859392E-1
7.436386830E-1,7.892379165E-1,-2.735149264E-1,-2.148718536E-1
7.457352810E-1,7.637342811E-1,-2.625193298E-1,-2.098322064E-1
7.478348500E-1,7.394523621E-1,-2.503020465E-1,-2.058615834E-1
7.499353950E-1,7.153232098E-1,-2.345722616E-1,-2.031126916E-1
7.520372930E-1,6.898195744E-1,-2.235766798E-1,-2.003637999E-1
7.541373800E-1,6.666067243E-1,-2.163990140E-1,-2.002110779E-1
7.562379560E-1,6.423248053E-1,-2.066251636E-1,-1.999056488E-1
7.583378510E-1,6.180428863E-1,-2.017382532E-1,-1.996002197E-1
7.604389860E-1,5.913175344E-1,-1.968513280E-1,-2.006692290E-1
7.625388600E-1,5.658139586E-1,-1.895209402E-1,-1.991420686E-1
7.646407680E-1,5.403103232E-1,-1.774563491E-1,-1.988366395E-1
7.667454030E-1,5.135849714E-1,-1.615738571E-1,-1.997529417E-1
7.688421440E-1,4.880813360E-1,-1.421788931E-1,-1.994474977E-1
7.709413460E-1,4.637994468E-1,-1.238529310E-1,-1.991420686E-1
7.730409050E-1,4.419609904E-1,-1.044579595E-1,-1.976149082E-1
7.751403720E-1,4.189008474E-1,-8.628471941E-2,-1.974621862E-1
7.772367670E-1,3.969096839E-1,-7.055493444E-2,-1.947132945E-1
7.793435470E-1,3.787364662E-1,-5.833763257E-2,-1.908953935E-1
7.814441230E-1,3.593414724E-1,-4.505131021E-2,-1.869247705E-1
7.835464090E-1,3.411682248E-1,-3.283400834E-2,-1.855503172E-1
7.856427730E-1,3.254384696E-1,-2.306016348E-2,-1.852448881E-1
7.877307250E-1,3.058907688E-1,-1.588249579E-2,-1.850921661E-1
7.898465690E-1,2.877175212E-1,-1.099557430E-2,-1.873829067E-1
7.919469310E-1,2.669481039E-1,-8.552113548E-3,-1.921171248E-1
7.940511700E-1,2.499966025E-1,-2.443460980E-3,-1.979203373E-1
